rank,Symbol,Sector,E_score,S_score,G_score,F_score,liebig_score,equal_weight_score,geo_mean_score,binding_dimension,binding_kpi
1,AVGO,Information Technology,67.75510204081634,51.81991274770778,52.62390670553936,54.3800919577317,51.81991274770778,56.6447533629488,56.30091152425211,Social,S_tax_contribution
2,ABT,Health Care,88.9795918367347,50.41084368530021,51.60349854227406,62.27676050657417,50.41084368530021,63.317673642720784,61.61761492083857,Social,S_tax_contribution
3,BLK,Financials,73.87755102040816,47.41293256433008,54.22740524781341,64.01669758812616,47.41293256433008,59.88364660516945,59.05142058609588,Social,S_reinvestment_ratio
4,MRK,Health Care,92.44897959183673,61.53735950902099,46.647230320699705,64.15181092199725,46.647230320699705,66.19634508588867,64.23458765617971,Governance,G_debt_discipline
5,MSFT,Information Technology,64.08163265306123,46.21644853593611,54.81049562682216,78.44599499879004,46.21644853593611,60.888642953652386,59.73669081179952,Social,S_shareholder_return
6,JNJ,Health Care,90.0,42.53965173025732,50.145772594752195,71.87182382834555,42.53965173025732,63.63931203833877,60.9477051697289,Social,S_tax_contribution
7,PEP,Consumer Staples,41.42857142857143,56.30938516711032,60.78717201166181,45.27546987174316,41.42857142857143,50.95014961977168,50.33718352478752,Environmental,E_emissions_to_assets
8,INTC,Information Technology,60.0,83.00798580301687,43.731778425655975,40.70299265951441,40.70299265951441,56.860689222046815,54.56619261303645,Financial Health,F_return_on_assets
9,HON,Industrials,36.734693877551024,59.27078711919551,54.22740524781341,49.08364926998467,36.734693877551024,49.829133878636156,49.06459259290368,Environmental,E_carbon_intensity
10,CRM,Information Technology,71.42857142857142,81.53121302868973,47.376093294460645,36.45740905057675,36.45740905057675,59.19832170057464,56.316444565404,Financial Health,F_current_ratio
11,PG,Consumer Staples,44.08163265306122,36.41119491274771,65.45189504373178,65.36379769299023,36.41119491274771,52.82713007563274,51.19034143462337,Social,S_tax_contribution
12,CAT,Industrials,34.285714285714285,49.71116163856847,65.74344023323614,63.968702105348065,34.285714285714285,53.427254565716744,51.74242391153872,Environmental,E_carbon_intensity
13,BAC,Financials,61.632653061224495,58.723072562358276,55.24781341107872,34.013605442176875,34.013605442176875,52.40428611920959,51.06776479408233,Financial Health,F_return_on_assets
14,PFE,Health Care,92.44897959183675,61.888355885832596,33.38192419825073,44.20908284262322,33.38192419825073,57.98208562963582,53.90555040876782,Governance,G_debt_discipline
15,UNH,Health Care,66.73469387755101,43.4766433747412,33.23615160349855,39.40590465435186,33.23615160349855,45.71334837753565,44.15144565114038,Governance,G_audit_risk
16,AAPL,Information Technology,57.551020408163275,33.139696095829635,87.90087463556851,56.616923449221574,33.139696095829635,58.80212864719576,55.50540208942935,Social,S_tax_contribution
17,HD,Consumer Discretionary,49.38775510204081,33.0689884649512,74.19825072886297,55.31781882713559,33.0689884649512,52.99320328074764,50.883236532528215,Social,S_reinvestment_ratio
18,GE,Industrials,36.326530612244895,58.47220681750961,32.798833819241985,63.25159312736953,32.798833819241985,47.71229109409151,45.816912486929866,Governance,G_earnings_stability
19,LLY,Health Care,86.12244897959184,45.88139603667554,32.06997084548105,63.85254497055739,32.06997084548105,56.981590208076454,53.33440357524326,Governance,G_shareholder_rights_risk
20,VZ,Communication Services,81.83673469387755,54.54100118308193,64.43148688046647,31.790755828022906,31.790755828022906,58.14999464636222,54.98795915072939,Financial Health,F_interest_coverage
21,AMZN,Consumer Discretionary,45.30612244897959,31.20540335699497,42.27405247813412,60.20771154311527,31.20540335699497,44.74832245680599,43.55401279452149,Social,S_shareholder_return
22,LOW,Consumer Discretionary,52.6530612244898,38.8836512866016,71.7201166180758,30.62273130596112,30.62273130596112,48.46989010878208,46.048861162411775,Financial Health,F_debt_to_assets
23,JPM,Financials,45.71428571428571,47.9875283446712,58.309037900874635,30.612244897959183,30.612244897959183,45.65577421444768,44.483898757383585,Financial Health,F_return_on_assets
24,WMT,Consumer Staples,29.591836734693874,41.59549689440994,57.5801749271137,51.51044607566346,29.591836734693874,45.06948865797025,43.711592845087814,Environmental,E_est_emissions_tco2e
25,KO,Consumer Staples,44.89795918367347,27.342132505175982,57.142857142857146,64.70960716302332,27.342132505175982,48.52313899868248,46.158046971570045,Social,S_worker_share
26,PLD,Real Estate,66.73469387755101,30.122606107660456,54.66472303206997,26.597160603371787,26.597160603371787,44.529795905163304,41.34725293513379,Financial Health,F_retn_earnings_to_assets
27,UPS,Industrials,29.387755102040813,63.17495748299319,25.364431486880466,46.69395821569734,25.364431486880466,41.155275571902955,38.50785238422305,Governance,G_shareholder_rights_risk
28,COST,Consumer Staples,27.755102040816325,24.65431824903875,78.13411078717202,69.31959345002824,24.65431824903875,49.96578113176383,43.87661617056816,Social,S_shareholder_return
29,COP,Energy,23.877551020408163,60.03609324164449,41.10787172011662,62.173913043478265,23.877551020408163,46.798857256411885,43.750583523675026,Environmental,E_est_emissions_tco2e
30,SPG,Real Estate,75.10204081632652,42.48142191659272,34.54810495626822,22.723642816810518,22.723642816810518,43.7138026264995,39.78214921213986,Financial Health,F_debt_to_assets
31,GOOGL,Communication Services,77.34693877551021,42.49990757172434,22.594752186588924,85.48156812131967,22.594752186588924,56.98079166378579,50.197003710103814,Governance,G_shareholder_rights_risk
32,EQIX,Real Estate,60.61224489795917,85.57957150251406,55.393586005830905,22.34774542227958,22.34774542227958,55.98328695714593,50.33915467069968,Financial Health,F_retn_earnings_to_assets
33,NKE,Consumer Discretionary,51.42857142857142,22.26042590949423,23.760932944606417,53.815439219165924,22.26042590949423,37.8163423754595,34.7838041414639,Social,S_tax_contribution
34,SLB,Energy,20.20408163265306,66.20290779355221,79.44606413994168,56.35395660240381,20.20408163265306,55.55175254213769,49.46844340307878,Environmental,E_decarb_investment_adequacy
35,TSLA,Consumer Discretionary,55.91836734693878,24.88330930198166,19.970845481049565,61.119222392514324,19.970845481049565,40.472936130621086,36.100168007118825,Governance,G_board_risk
36,NEM,Materials,19.591836734693878,46.49096051464064,65.45189504373178,74.3091070420263,19.591836734693878,51.46094983377316,45.87773673703933,Environmental,E_emissions_to_assets
37,LIN,Materials,18.775510204081634,66.67983769594795,40.23323615160349,48.696055497297735,18.775510204081634,43.5961598872327,39.574574843197574,Environmental,E_carbon_intensity
38,FCX,Materials,17.95918367346939,62.319302721088434,61.80758017492712,57.229974993950144,17.95918367346939,49.82901039085878,44.606034777616706,Environmental,E_carbon_intensity
39,CVX,Energy,16.122448979591837,47.59155020703934,55.97667638483966,63.5702186012745,16.122448979591837,45.815223543186335,40.64951975090267,Environmental,E_est_emissions_tco2e
40,GS,Financials,61.632653061224495,50.559807256235835,30.758017492711378,15.646258503401363,15.646258503401363,39.64918407839327,34.994216822601715,Financial Health,F_return_on_assets
41,NVDA,Information Technology,60.40816326530612,14.817176870748298,41.399416909620996,93.85093167701862,14.817176870748298,52.61892218067351,43.184060651763005,Social,S_tax_contribution
42,TMUS,Communication Services,83.0612244897959,63.296962806861885,14.1399416909621,27.82850689682988,14.1399416909621,47.08165897111244,37.92535731648892,Governance,G_board_risk
43,SHW,Materials,12.244897959183673,53.72439736764271,53.06122448979591,31.693554892312658,12.244897959183673,37.68101867723374,32.43162698680611,Environmental,E_emissions_to_assets
44,XOM,Energy,11.632653061224492,44.874158902691505,44.606413994169095,76.34508348794063,11.632653061224492,44.36457736150643,36.51433288943862,Environmental,E_est_emissions_tco2e
45,AMT,Real Estate,73.46938775510205,63.33023698609879,74.05247813411079,10.844155844155845,10.844155844155845,55.424064679866866,43.96562185032175,Financial Health,F_current_ratio
46,NEE,Utilities,10.816326530612248,42.74992605737947,46.064139941690954,15.208518189884652,10.816326530612248,28.70972767989183,23.8570233968561,Environmental,E_carbon_intensity
